instant,tanggal,musim,tahun,bulan,jam,libur,hari,hari_kerja,kondisi_cuaca,temp,suhu_terasa,kelembaban,windspeed,pengguna_casual,pengguna_terdaftar,jumlah,periode_hari,kehangatan,tingkat_kelembaban
1,2011-01-01,Dingin,2011,Januari,0,tidak,Minggu,tidak,Cerah,3.2799999999999994,3.0014000000000003,0.8100000000000002,0.0,3,13,16,Malam,Dingin,Tinggi
2,2011-01-01,Dingin,2011,Januari,1,tidak,Minggu,tidak,Cerah,2.34,1.9982000000000006,0.8,0.0,8,32,40,Malam,Dingin,Tinggi
3,2011-01-01,Dingin,2011,Januari,2,tidak,Minggu,tidak,Cerah,2.34,1.9982000000000006,0.8,0.0,5,27,32,Malam,Dingin,Tinggi
4,2011-01-01,Dingin,2011,Januari,3,tidak,Minggu,tidak,Cerah,3.2799999999999994,3.0014000000000003,0.75,0.0,3,10,13,Malam,Dingin,Tinggi
5,2011-01-01,Dingin,2011,Januari,4,tidak,Minggu,tidak,Cerah,3.2799999999999994,3.0014000000000003,0.75,0.0,0,1,1,Malam,Dingin,Tinggi
6,2011-01-01,Dingin,2011,Januari,5,tidak,Minggu,tidak,Berawan,3.2799999999999994,1.0015999999999998,0.75,6.0032,0,1,1,Malam,Dingin,Tinggi
7,2011-01-01,Dingin,2011,Januari,6,tidak,Minggu,tidak,Cerah,2.34,1.9982000000000006,0.8,0.0,2,0,2,Malam,Dingin,Tinggi
8,2011-01-01,Dingin,2011,Januari,7,tidak,Minggu,tidak,Cerah,1.4000000000000004,1.0015999999999998,0.86,0.0,1,2,3,Pagi,Dingin,Tinggi
9,2011-01-01,Dingin,2011,Januari,8,tidak,Minggu,tidak,Cerah,3.2799999999999994,3.0014000000000003,0.75,0.0,1,7,8,Pagi,Dingin,Tinggi
10,2011-01-01,Dingin,2011,Januari,9,tidak,Minggu,tidak,Cerah,7.040000000000001,7.000999999999998,0.76,0.0,8,6,14,Pagi,Dingin,Tinggi
11,2011-01-01,Dingin,2011,Januari,10,tidak,Minggu,tidak,Cerah,9.86,9.997399999999999,0.76,16.997899999999998,12,24,36,Pagi,Dingin,Tinggi
12,2011-01-01,Dingin,2011,Januari,11,tidak,Minggu,tidak,Cerah,8.919999999999998,5.997799999999998,0.8100000000000002,19.0012,26,30,56,Pagi,Dingin,Tinggi
13,2011-01-01,Dingin,2011,Januari,12,tidak,Minggu,tidak,Cerah,11.739999999999998,11.997200000000003,0.77,19.0012,29,55,84,Pagi,Dingin,Tinggi
14,2011-01-01,Dingin,2011,Januari,13,tidak,Minggu,tidak,Berawan,13.620000000000001,13.997,0.72,19.999499999999998,47,47,94,Sore,Hangat,Tinggi
15,2011-01-01,Dingin,2011,Januari,14,tidak,Minggu,tidak,Berawan,13.620000000000001,13.997,0.72,19.0012,35,71,106,Sore,Hangat,Tinggi
16,2011-01-01,Dingin,2011,Januari,15,tidak,Minggu,tidak,Berawan,12.68,13.000399999999999,0.77,19.999499999999998,40,70,110,Sore,Hangat,Tinggi
17,2011-01-01,Dingin,2011,Januari,16,tidak,Minggu,tidak,Berawan,11.739999999999998,11.997200000000003,0.8199999999999998,19.999499999999998,41,52,93,Sore,Dingin,Tinggi
18,2011-01-01,Dingin,2011,Januari,17,tidak,Minggu,tidak,Berawan,12.68,13.000399999999999,0.8199999999999998,19.0012,15,52,67,Sore,Hangat,Tinggi
19,2011-01-01,Dingin,2011,Januari,18,tidak,Minggu,tidak,Hujan Ringan,11.739999999999998,11.997200000000003,0.88,16.997899999999998,9,26,35,Sore,Dingin,Tinggi
20,2011-01-01,Dingin,2011,Januari,19,tidak,Minggu,tidak,Hujan Ringan,11.739999999999998,11.997200000000003,0.88,16.997899999999998,6,31,37,Malam,Dingin,Tinggi
21,2011-01-01,Dingin,2011,Januari,20,tidak,Minggu,tidak,Berawan,10.8,11.000600000000002,0.8699999999999999,16.997899999999998,11,25,36,Malam,Dingin,Tinggi
22,2011-01-01,Dingin,2011,Januari,21,tidak,Minggu,tidak,Berawan,10.8,11.000600000000002,0.8699999999999999,12.998000000000001,3,31,34,Malam,Dingin,Tinggi
23,2011-01-01,Dingin,2011,Januari,22,tidak,Minggu,tidak,Berawan,10.8,11.000600000000002,0.9399999999999998,15.001299999999999,11,17,28,Malam,Dingin,Tinggi
24,2011-01-01,Dingin,2011,Januari,23,tidak,Minggu,tidak,Berawan,13.620000000000001,13.997,0.88,19.999499999999998,15,24,39,Malam,Hangat,Tinggi
25,2011-01-02,Dingin,2011,Januari,0,tidak,Senin,tidak,Berawan,13.620000000000001,13.997,0.88,19.999499999999998,4,13,17,Malam,Hangat,Tinggi
26,2011-01-02,Dingin,2011,Januari,1,tidak,Senin,tidak,Berawan,12.68,13.000399999999999,0.9399999999999998,16.997899999999998,1,16,17,Malam,Hangat,Tinggi
27,2011-01-02,Dingin,2011,Januari,2,tidak,Senin,tidak,Berawan,11.739999999999998,11.997200000000003,1.0,19.0012,1,8,9,Malam,Dingin,Tinggi
28,2011-01-02,Dingin,2011,Januari,3,tidak,Senin,tidak,Berawan,13.620000000000001,13.997,0.9399999999999998,12.998000000000001,2,4,6,Malam,Hangat,Tinggi
29,2011-01-02,Dingin,2011,Januari,4,tidak,Senin,tidak,Berawan,13.620000000000001,13.997,0.9399999999999998,12.998000000000001,2,1,3,Malam,Hangat,Tinggi
30,2011-01-02,Dingin,2011,Januari,6,tidak,Senin,tidak,Hujan Ringan,11.739999999999998,11.997200000000003,0.77,19.999499999999998,0,2,2,Malam,Dingin,Tinggi
31,2011-01-02,Dingin,2011,Januari,7,tidak,Senin,tidak,Berawan,10.8,11.000600000000002,0.76,12.998000000000001,0,1,1,Pagi,Dingin,Tinggi
32,2011-01-02,Dingin,2011,Januari,8,tidak,Senin,tidak,Hujan Ringan,10.8,11.000600000000002,0.71,15.001299999999999,0,8,8,Pagi,Dingin,Tinggi
33,2011-01-02,Dingin,2011,Januari,9,tidak,Senin,tidak,Berawan,9.86,9.997399999999999,0.76,15.001299999999999,1,19,20,Pagi,Dingin,Tinggi
34,2011-01-02,Dingin,2011,Januari,10,tidak,Senin,tidak,Berawan,8.919999999999998,7.000999999999998,0.8100000000000002,15.001299999999999,7,46,53,Pagi,Dingin,Tinggi
35,2011-01-02,Dingin,2011,Januari,11,tidak,Senin,tidak,Berawan,8.919999999999998,5.997799999999998,0.71,16.997899999999998,16,54,70,Pagi,Dingin,Tinggi
36,2011-01-02,Dingin,2011,Januari,12,tidak,Senin,tidak,Berawan,8.919999999999998,5.997799999999998,0.66,19.999499999999998,20,73,93,Pagi,Dingin,Sedang
37,2011-01-02,Dingin,2011,Januari,13,tidak,Senin,tidak,Berawan,8.919999999999998,7.000999999999998,0.66,8.9981,11,64,75,Sore,Dingin,Sedang
38,2011-01-02,Dingin,2011,Januari,14,tidak,Senin,tidak,Hujan Ringan,8.919999999999998,7.000999999999998,0.76,12.998000000000001,4,55,59,Sore,Dingin,Tinggi
39,2011-01-02,Dingin,2011,Januari,15,tidak,Senin,tidak,Hujan Ringan,7.98,5.997799999999998,0.8100000000000002,11.0014,19,55,74,Sore,Dingin,Tinggi
40,2011-01-02,Dingin,2011,Januari,16,tidak,Senin,tidak,Hujan Ringan,7.98,5.997799999999998,0.71,11.0014,9,67,76,Sore,Dingin,Tinggi
41,2011-01-02,Dingin,2011,Januari,17,tidak,Senin,tidak,Cerah,7.98,5.997799999999998,0.57,12.998000000000001,7,58,65,Sore,Dingin,Sedang
42,2011-01-02,Dingin,2011,Januari,18,tidak,Senin,tidak,Berawan,8.919999999999998,5.997799999999998,0.45999999999999996,22.0028,10,43,53,Sore,Dingin,Sedang
43,2011-01-02,Dingin,2011,Januari,19,tidak,Senin,tidak,Cerah,7.040000000000001,3.0014000000000003,0.42,30.002599999999997,1,29,30,Malam,Dingin,Sedang
44,2011-01-02,Dingin,2011,Januari,20,tidak,Senin,tidak,Cerah,6.1,1.9982000000000006,0.39,23.9994,5,17,22,Malam,Dingin,Rendah
45,2011-01-02,Dingin,2011,Januari,21,tidak,Senin,tidak,Cerah,4.220000000000001,-0.9982000000000006,0.44,22.0028,11,20,31,Malam,Dingin,Sedang
46,2011-01-02,Dingin,2011,Januari,22,tidak,Senin,tidak,Cerah,3.2799999999999994,-2.0013999999999985,0.44,19.999499999999998,0,9,9,Malam,Dingin,Sedang
47,2011-01-02,Dingin,2011,Januari,23,tidak,Senin,tidak,Cerah,2.34,-0.9982000000000006,0.4699999999999999,11.0014,0,8,8,Malam,Dingin,Sedang
48,2011-01-03,Dingin,2011,Januari,0,tidak,Selasa,ya,Cerah,2.34,-2.9979999999999993,0.44,23.9994,0,5,5,Malam,Dingin,Sedang
49,2011-01-03,Dingin,2011,Januari,1,tidak,Selasa,ya,Cerah,1.4000000000000004,-4.997800000000002,0.44,27.999299999999998,0,2,2,Malam,Dingin,Sedang
50,2011-01-03,Dingin,2011,Januari,4,tidak,Selasa,ya,Cerah,-0.47999999999999954,-6.9976,0.4699999999999999,26.0027,0,1,1,Malam,Dingin,Sedang
51,2011-01-03,Dingin,2011,Januari,5,tidak,Selasa,ya,Cerah,-0.47999999999999954,-6.9976,0.4699999999999999,19.0012,0,3,3,Malam,Dingin,Sedang
52,2011-01-03,Dingin,2011,Januari,6,tidak,Selasa,ya,Cerah,-1.419999999999999,-8.997399999999999,0.5,26.0027,0,30,30,Malam,Dingin,Sedang
53,2011-01-03,Dingin,2011,Januari,7,tidak,Selasa,ya,Cerah,-1.419999999999999,-6.9976,0.5,12.998000000000001,1,63,64,Pagi,Dingin,Sedang
54,2011-01-03,Dingin,2011,Januari,8,tidak,Selasa,ya,Cerah,-1.419999999999999,-8.0008,0.5,19.0012,1,153,154,Pagi,Dingin,Sedang
55,2011-01-03,Dingin,2011,Januari,9,tidak,Selasa,ya,Cerah,-0.47999999999999954,-6.9976,0.43,26.0027,7,81,88,Pagi,Dingin,Sedang
56,2011-01-03,Dingin,2011,Januari,10,tidak,Selasa,ya,Cerah,0.4599999999999991,-4.997800000000002,0.43,16.997899999999998,11,33,44,Pagi,Dingin,Sedang
57,2011-01-03,Dingin,2011,Januari,11,tidak,Selasa,ya,Cerah,1.4000000000000004,-4.001200000000001,0.4,22.0028,10,41,51,Pagi,Dingin,Rendah
58,2011-01-03,Dingin,2011,Januari,12,tidak,Selasa,ya,Cerah,2.34,-2.0013999999999985,0.35,19.999499999999998,13,48,61,Pagi,Dingin,Rendah
59,2011-01-03,Dingin,2011,Januari,13,tidak,Selasa,ya,Cerah,3.2799999999999994,-2.0013999999999985,0.35,19.0012,8,53,61,Sore,Dingin,Rendah
60,2011-01-03,Dingin,2011,Januari,14,tidak,Selasa,ya,Cerah,4.220000000000001,-0.0015999999999998238,0.3,19.0012,11,66,77,Sore,Dingin,Rendah
61,2011-01-03,Dingin,2011,Januari,15,tidak,Selasa,ya,Cerah,4.220000000000001,-0.0015999999999998238,0.3,16.997899999999998,14,58,72,Sore,Dingin,Rendah
62,2011-01-03,Dingin,2011,Januari,16,tidak,Selasa,ya,Cerah,4.220000000000001,-0.0015999999999998238,0.3,16.997899999999998,9,67,76,Sore,Dingin,Rendah
63,2011-01-03,Dingin,2011,Januari,17,tidak,Selasa,ya,Cerah,3.2799999999999994,-0.9982000000000006,0.3,15.001299999999999,11,146,157,Sore,Dingin,Rendah
64,2011-01-03,Dingin,2011,Januari,18,tidak,Selasa,ya,Cerah,3.2799999999999994,1.0015999999999998,0.32,7.0015,9,148,157,Sore,Dingin,Rendah
65,2011-01-03,Dingin,2011,Januari,19,tidak,Selasa,ya,Cerah,1.4000000000000004,1.0015999999999998,0.4699999999999999,0.0,8,102,110,Malam,Dingin,Sedang
66,2011-01-03,Dingin,2011,Januari,20,tidak,Selasa,ya,Cerah,1.4000000000000004,-0.9982000000000006,0.4699999999999999,7.0015,3,49,52,Malam,Dingin,Sedang
67,2011-01-03,Dingin,2011,Januari,21,tidak,Selasa,ya,Cerah,0.4599999999999991,-2.9979999999999993,0.64,8.9981,3,49,52,Malam,Dingin,Sedang
68,2011-01-03,Dingin,2011,Januari,22,tidak,Selasa,ya,Cerah,-1.419999999999999,-6.0009999999999994,0.69,8.9981,0,20,20,Malam,Dingin,Sedang
69,2011-01-03,Dingin,2011,Januari,23,tidak,Selasa,ya,Cerah,0.4599999999999991,-2.0013999999999985,0.55,7.0015,1,11,12,Malam,Dingin,Sedang
70,2011-01-04,Dingin,2011,Januari,0,tidak,Rabu,ya,Cerah,-0.47999999999999954,-4.001200000000001,0.55,7.0015,0,5,5,Malam,Dingin,Sedang
71,2011-01-04,Dingin,2011,Januari,1,tidak,Rabu,ya,Cerah,-0.47999999999999954,-4.001200000000001,0.59,7.0015,0,2,2,Malam,Dingin,Sedang
72,2011-01-04,Dingin,2011,Januari,2,tidak,Rabu,ya,Cerah,-1.419999999999999,-6.0009999999999994,0.63,8.9981,0,1,1,Malam,Dingin,Sedang
73,2011-01-04,Dingin,2011,Januari,4,tidak,Rabu,ya,Cerah,-1.419999999999999,-4.001200000000001,0.63,6.0032,0,2,2,Malam,Dingin,Sedang
74,2011-01-04,Dingin,2011,Januari,5,tidak,Rabu,ya,Cerah,-2.3600000000000003,-6.0009999999999994,0.68,7.0015,0,4,4,Malam,Dingin,Sedang
75,2011-01-04,Dingin,2011,Januari,6,tidak,Rabu,ya,Cerah,-2.3600000000000003,-6.0009999999999994,0.74,7.0015,0,36,36,Malam,Dingin,Tinggi
76,2011-01-04,Dingin,2011,Januari,7,tidak,Rabu,ya,Cerah,-2.3600000000000003,-6.0009999999999994,0.74,8.9981,2,92,94,Pagi,Dingin,Tinggi
77,2011-01-04,Dingin,2011,Januari,8,tidak,Rabu,ya,Cerah,-1.419999999999999,-6.0009999999999994,0.69,11.0014,2,177,179,Pagi,Dingin,Sedang
78,2011-01-04,Dingin,2011,Januari,9,tidak,Rabu,ya,Cerah,-0.47999999999999954,-6.0009999999999994,0.64,15.001299999999999,2,98,100,Pagi,Dingin,Sedang
79,2011-01-04,Dingin,2011,Januari,10,tidak,Rabu,ya,Berawan,-0.47999999999999954,-6.9976,0.69,22.0028,5,37,42,Pagi,Dingin,Sedang
80,2011-01-04,Dingin,2011,Januari,11,tidak,Rabu,ya,Cerah,2.34,-2.0013999999999985,0.51,19.999499999999998,7,50,57,Pagi,Dingin,Sedang
81,2011-01-04,Dingin,2011,Januari,12,tidak,Rabu,ya,Cerah,2.34,-0.9982000000000006,0.51,11.0014,12,66,78,Pagi,Dingin,Sedang
82,2011-01-04,Dingin,2011,Januari,13,tidak,Rabu,ya,Cerah,3.2799999999999994,-0.9982000000000006,0.56,12.998000000000001,18,79,97,Sore,Dingin,Sedang
83,2011-01-04,Dingin,2011,Januari,14,tidak,Rabu,ya,Cerah,4.220000000000001,1.0015999999999998,0.52,15.001299999999999,9,54,63,Sore,Dingin,Sedang
84,2011-01-04,Dingin,2011,Januari,15,tidak,Rabu,ya,Cerah,5.160000000000002,1.9982000000000006,0.52,16.997899999999998,17,48,65,Sore,Dingin,Sedang
85,2011-01-04,Dingin,2011,Januari,16,tidak,Rabu,ya,Cerah,6.1,3.0014000000000003,0.49,16.997899999999998,15,68,83,Sore,Dingin,Sedang
86,2011-01-04,Dingin,2011,Januari,17,tidak,Rabu,ya,Cerah,5.160000000000002,1.9982000000000006,0.48,15.001299999999999,10,202,212,Sore,Dingin,Sedang
87,2011-01-04,Dingin,2011,Januari,18,tidak,Rabu,ya,Cerah,4.220000000000001,1.0015999999999998,0.48,12.998000000000001,3,179,182,Sore,Dingin,Sedang
88,2011-01-04,Dingin,2011,Januari,19,tidak,Rabu,ya,Cerah,3.2799999999999994,1.0015999999999998,0.48,7.0015,2,110,112,Malam,Dingin,Sedang
89,2011-01-04,Dingin,2011,Januari,20,tidak,Rabu,ya,Cerah,3.2799999999999994,1.0015999999999998,0.48,7.0015,1,53,54,Malam,Dingin,Sedang
